,mean,date
453491.0,15375.582713086613,2011-10-01
453493.0,15414.076533745969,2011-10-01
453495.0,15349.653147316563,2011-10-01
453497.0,15289.39213963471,2011-10-01
453499.0,15346.569120167522,2011-10-01
453801.0,15304.25059758549,2011-10-01
453803.0,15457.70597393243,2011-10-01
453805.0,15187.859437069674,2011-10-01
453807.0,15186.00941311481,2011-10-01
453809.0,15093.429457040707,2011-10-01
454061.0,15421.75639214095,2011-10-01
454063.0,15400.20318446998,2011-10-01
454065.0,15358.5531044587,2011-10-01
454067.0,15196.519361158053,2011-10-01
454069.0,15196.942666943094,2011-10-01
452100.0,15066.685140536514,2011-10-01
452300.0,15136.245232403351,2011-10-01
453141.0,15152.284323343752,2011-10-01
453143.0,15179.876869032309,2011-10-01
453145.0,15138.510455937658,2011-10-01
453147.0,15133.403161535489,2011-10-01
453149.0,15084.235237370476,2011-10-01
453210.0,15109.93055936044,2011-10-01
453230.0,15139.309475254138,2011-10-01
453250.0,15115.103773505583,2011-10-01
453270.0,15122.952494898987,2011-10-01
453291.0,15128.174572757898,2011-10-01
453293.0,15149.73858917599,2011-10-01
453295.0,15161.543578805216,2011-10-01
453297.0,15193.311985009375,2011-10-01
453299.0,15177.835196584903,2011-10-01
453410.0,15136.595885670027,2011-10-01
453430.0,15152.63803016444,2011-10-01
453450.0,15195.381786781256,2011-10-01
453461.0,15199.008255841269,2011-10-01
453463.0,15158.070764691827,2011-10-01
453478.0,15305.04874233923,2011-10-01
453481.0,15255.882430441998,2011-10-01
453483.0,15502.798658721462,2011-10-01
453485.0,15297.00537448973,2011-10-01
453492.0,15365.40463619722,2011-10-01
453494.0,15359.749564411924,2011-10-01
453487.0,15359.927123885433,2011-10-01
453489.0,15381.236089521648,2011-10-01
453496.0,15339.573953570089,2011-10-01
453498.0,15353.193131959844,2011-10-01
453806.0,15164.646437194106,2011-10-01
453808.0,15158.461159558738,2011-10-01
454062.0,15449.750093349128,2011-10-01
454064.0,15213.063184699424,2011-10-01
454066.0,15249.848985004017,2011-10-01
454068.0,15136.832764036491,2011-10-01
452411.0,15140.441221559951,2011-10-01
452413.0,15138.389562889332,2011-10-01
452415.0,15115.366156044216,2011-10-01
452417.0,15154.9018462584,2011-10-01
452419.0,15160.09462950097,2011-10-01
452431.0,15133.969511401,2011-10-01
452433.0,15143.467232432073,2011-10-01
452435.0,15135.321363295074,2011-10-01
452437.0,15142.00459312326,2011-10-01
453146.0,15149.26032812312,2011-10-01
453148.0,15063.650447613218,2011-10-01
453240.0,15116.526483705646,2011-10-01
